,ID,Year,Fall,Name,Nametype,Mass,Latitude,Longitude
835,22390,1899-01-01T00:00:00.000,Fell,Rancho de la Presa,Valid,300,19.866670,-100.816670
836,22392,1937-01-01T00:00:00.000,Fell,Rangala,Valid,3224.5,25.383330,72.016670
837,22394,1919-01-01T00:00:00.000,Fell,Raoyang,Valid,4910,38.200000,115.700000
838,22395,1961-01-01T00:00:00.000,Fell,Ras Tanura,Valid,6.1,26.666670,50.150000
839,22396,1740-01-01T00:00:00.000,Fell,Rasgrad,Valid,24700,43.500000,26.533330
840,22398,1880-01-01T00:00:00.000,Fell,Ratyn,Valid,910,52.200000,17.983330
841,53502,2007-01-01T00:00:00.000,Fell,Red Canyon Lake,Valid,18.41,38.137420,-119.758120
842,22584,1947-01-01T00:00:00.000,Fell,Reliegos,Valid,17300,42.475000,-5.333330
843,22585,1919-01-01T00:00:00.000,Fell,Rembang,Valid,10000,-6.733330,111.366670
844,22586,1824-01-01T00:00:00.000,Fell,Renazzo,Valid,1000,44.766670,11.283330
845,22587,1925-01-01T00:00:00.000,Fell,Renca,Valid,300,-32.750000,-65.283330
846,22589,1916-01-01T00:00:00.000,Fell,Renqiu,Valid,355,38.666670,116.133330
847,22590,1933-01-01T00:00:00.000,Fell,Repeev Khutor,Valid,7000,48.600000,45.666670
848,22592,1965-01-01T00:00:00.000,Fell,Revelstoke,Valid,1,51.333330,-118.950000
849,22593,1929-01-01T00:00:00.000,Fell,Rewari,Valid,3332,28.200000,76.666670
850,22597,1903-01-01T00:00:00.000,Fell,Rich Mountain,Valid,668,35.033330,-83.033330
851,24140,1948-01-01T00:00:00.000,Fell,Uzcudun,Valid,20000,-44.116670,-66.150000
852,22599,1918-01-01T00:00:00.000,Fell,Richardton,Valid,90000,46.883330,-102.316670
853,22602,1980-01-01T00:00:00.000,Fell,Richland Springs,Valid,1900,31.250000,-99.033330
854,22603,1828-01-01T00:00:00.000,Fell,Richmond,Valid,1800,37.466670,-77.500000
855,22611,1934-01-01T00:00:00.000,Fell,Rio Negro,Valid,1310,-26.100000,-49.800000
856,22614,1491-01-01T00:00:00.000,Fell,Rivolta de Bassi,Valid,103.3,45.483330,9.516670
857,22637,1876-01-01T00:00:00.000,Fell,Rochester,Valid,340,41.083330,-86.283330
858,22640,1895-01-01T00:00:00.000,Fell,Rockhampton,Valid,1641,-23.383330,150.516670
859,22641,1871-01-01T00:00:00.000,Fell,Roda,Valid,400,42.300000,0.550000
860,22642,1775-01-01T00:00:00.000,Fell,Rodach,Valid,2900,50.350000,10.800000
861,22766,1921-01-01T00:00:00.000,Fell,Rose City,Valid,10600,44.516670,-83.950000
862,22773,1876-01-01T00:00:00.000,Fell,Rowton,Valid,3500,52.766670,-2.516670
