Item Number,Category Name,Item Description,Vendor,Vendor Name,Bottle Volume (ml),Pack,Inner Pack,Age,Proof,List Date,UPC,SCC,State Bottle Cost,State Case Cost,State Bottle Retail,Report Date
26752,Iowa Distilleries,3-Oaks Distillery Straight Bourbon Whiskey,215,"3-Oaks Distillery, LLC",750,6,1,2,90,04/01/2019,742832073059,10059824001806,18.00,108.00,27.00,04/01/2019
26781,Iowa Distilleries,Templeton Rye Rare Cask Strength,255,Infinium Spirits,750,6,1,0,114,01/01/2019,720815921030,10059824001806,29.99,179.94,44.99,04/01/2019
26787,Iowa Distilleries,Green Frog Distillery Straight Corn Whiskey 100prf,549,"Green Frog Distillery, LLC",750,6,1,0,100,11/01/2018,853938008088,10059824001806,17.50,105.00,26.25,04/01/2019
26806,Iowa Distilleries,Green Frog Distillery Barreled Aged Corn Whiskey,549,"Green Frog Distillery, LLC",750,6,1,8,96,09/01/2018,853938008040,10059824001806,20.00,120.00,30.00,04/01/2019
26814,Iowa Distilleries,Steeple Ridge Bourbon,325,Lonely Oak Distillery,750,6,1,0,92,12/01/2018,19962231612,10059824001806,22.50,135.00,33.75,04/01/2019
26815,Iowa Distilleries,Green Frog Distillery Caramel Flavored Corn Whiskey,549,"Green Frog Distillery, LLC",750,6,1,0,60,09/01/2018,853938008019,10059824001806,15.00,90.00,22.50,04/01/2019
26851,Iowa Distilleries,Blue Ox American Spirit Whiskey,229,DEHNER DISTILLERY,1000,12,1,0,80,12/01/2018,854647008208,10059824001806,5.00,60.00,7.50,04/01/2019
26858,Iowa Distilleries,Templeton 4YR Rye,255,Infinium Spirits,375,12,1,4,80,08/01/2018,720815920026,10059824001806,9.99,119.88,14.99,04/01/2019
26910,Iowa Distilleries,Green Frog Distillery Straight Corn Whiskey 80prf DISCO,549,"Green Frog Distillery, LLC",750,6,1,0,80,09/01/2018,853938008002,10059824001806,17.50,105.00,26.25,04/01/2019
26986,Iowa Distilleries,Iowa Legendary Rye Private Reserve,116,BAD BEAR ENTERPRISES LLC,750,6,1,0,80,05/01/2018,863037000173,10059824001806,50.00,300.00,75.00,04/01/2019
27014,Iowa Distilleries,Cedar Ridge Malted Rye,125,CEDAR RIDGE VINEYARDS LL,750,6,1,2,86,09/01/2014,863037000173,10059824001134,19.67,118.00,29.51,04/01/2019
27027,Iowa Distilleries,Cody Road Rye,306,MISSISSIPPI RIVER DISTIL,750,6,1,0,80,10/01/2012,22099147794,10059824001134,19.17,115.00,28.76,04/01/2019
27102,Iowa Distilleries,Templeton 4YR Rye,255,Infinium Spirits,750,6,1,0,80,11/01/2006,22099147794,10720815920108,18.09,108.54,27.14,04/01/2019
27125,Iowa Distilleries,Templeton 6YR Rye,255,Infinium Spirits,750,6,1,6,92,07/01/2016,22099147794,10720815920238,22.75,136.50,34.13,04/01/2019
27138,Iowa Distilleries,Cody Road Single Barrel Rye,306,MISSISSIPPI RIVER DISTIL,750,6,1,0,92,09/01/2016,855037005104,10720815920238,25.00,150.00,37.50,04/01/2019
27175,Iowa Distilleries,Templeton 4YR Rye,255,Infinium Spirits,1000,6,1,4,80,08/01/2017,720815920149,10720815920238,21.00,126.00,31.50,04/01/2019
27246,Iowa Distilleries,Artisan Grain Original Moonshine,101,ARTISAN GRAIN DISTILLERY,750,6,1,0,92,02/01/2015,720815920149,868887000007,12.67,76.00,19.01,04/01/2019
27255,Iowa Distilleries,Country Gal,154,DUNKEL CORPORATION,750,12,1,0,80,12/01/2013,720815920149,868887000007,3.09,37.08,4.64,04/01/2019
27257,Iowa Distilleries,Red Boot Corn Whiskey,229,DEHNER DISTILLERY,750,12,1,0,80,08/01/2013,720815920149,868887000007,9.99,119.80,14.99,04/01/2019
27273,Iowa Distilleries,Sipp'n -N- Mix'n,418,GUNSANDMORE INFO LLC,750,12,1,0,80,12/01/2016,855677003041,868887000007,14.75,177.00,22.13,04/01/2019
27274,Iowa Distilleries,Two Jay's Urban Style Light Whiskey,086,BROADBENT VENTURES LLC,375,12,1,0,80,09/01/2016,855677003041,6169329715256,5.84,70.08,8.76,04/01/2019
27286,Iowa Distilleries,Honey Creek Wild Hog,203,Honey Creek Distillery,750,12,1,0,110,12/01/2013,855677003041,6169329715256,13.09,157.00,19.64,04/01/2019
27289,Iowa Distilleries,Iowish Whiskey,306,MISSISSIPPI RIVER DISTIL,750,6,1,0,40,03/01/2016,855677003041,10855037005118,19.17,115.00,28.76,04/01/2019
27292,Iowa Distilleries,Iowa Shine,154,DUNKEL CORPORATION,750,12,1,0,80,04/01/2013,855677003041,10854781004019,9.09,109.00,13.64,04/01/2019
27318,Iowa Distilleries,Two Jay's Iowa Corn Whiskey,086,BROADBENT VENTURES LLC,750,12,1,0,80,03/01/2011,855677003041,10720815920108,13.87,166.44,20.81,04/01/2019
27323,Iowa Distilleries,Two Jay's Country Style Blended Why.,086,BROADBENT VENTURES LLC,750,12,1,0,80,08/01/2011,855677003041,10720815920108,15.59,187.08,23.39,04/01/2019
27357,Iowa Distilleries,Cedar Ridge Single Malt Single Barrel Select,125,CEDAR RIDGE VINEYARDS LL,750,6,1,5,80,05/01/2018,855677003041,10059824001219,25.00,150.00,37.50,04/01/2019
27369,Iowa Distilleries,Cedar Ridge Port Cask Finished Bourbon,125,CEDAR RIDGE VINEYARDS LL,750,6,1,2,94,11/01/2016,859824001676,10059824001219,25.50,153.00,38.25,04/01/2019
27386,Iowa Distilleries,Cedar Ridge Reserve Bourbon,125,CEDAR RIDGE VINEYARDS LL,375,6,1,0,86,01/01/2014,859824001676,10059824001936,15.00,90.00,22.50,04/01/2019
27464,Iowa Distilleries,Cedar Ridge Wheat Whiskey,125,CEDAR RIDGE VINEYARDS LL,750,6,1,0,80,03/01/2014,859824001676,10059824001912,18.67,112.02,28.01,04/01/2019
27476,Iowa Distilleries,Cedar Ridge Single Malt Whiskey,125,CEDAR RIDGE VINEYARDS LL,750,6,1,5,80,02/01/2013,859824001676,10059824001813,25.00,150.00,37.50,04/01/2019
27478,Iowa Distilleries,Cedar Ridge Unaged Whiskey,125,CEDAR RIDGE VINEYARDS LL,750,6,1,0,100,08/01/2011,859824001676,10059824001868,13.17,79.00,19.76,04/01/2019
27479,Iowa Distilleries,Cody Road Bourbon,306,MISSISSIPPI RIVER DISTIL,750,6,1,0,90,12/01/2011,22099147749,10059824001868,19.17,115.00,28.76,04/01/2019
27512,Iowa Distilleries,Griff's Cowboy Whiskey,125,CEDAR RIDGE VINEYARDS LL,750,6,1,0,80,07/01/2011,0,10059824001868,12.59,75.50,18.89,04/01/2019
27535,Iowa Distilleries,Queen Bee Honey Whiskey,306,MISSISSIPPI RIVER DISTIL,375,12,1,0,70,04/01/2017,22099147770,10059824001868,9.09,109.08,13.64,04/01/2019
27597,Iowa Distilleries,Red Boot Spiced Whiskey,229,DEHNER DISTILLERY,750,12,1,0,80,04/01/2013,22099147770,10059824001868,9.99,119.80,14.99,04/01/2019
27629,Iowa Distilleries,Prairie Fire,154,DUNKEL CORPORATION,750,12,1,0,70,07/01/2013,22099147770,10854781004033,9.09,109.08,13.64,04/01/2019
27632,Iowa Distilleries,Cedar Ridge Short's Whiskey,125,CEDAR RIDGE VINEYARDS LL,750,6,1,0,80,08/01/2013,22099147770,10059824001967,13.83,82.96,20.75,04/01/2019
27636,Iowa Distilleries,Stone Fence Apple Cider Whiskey,306,MISSISSIPPI RIVER DISTIL,375,12,1,0,70,10/01/2018,859824001553,10059824001967,9.09,109.00,13.64,04/01/2019
27668,Iowa Distilleries,Farmer Brown Whiskey,306,MISSISSIPPI RIVER DISTIL,375,12,1,0,80,03/01/2015,859824001553,10059824001967,9.09,109.00,13.64,04/01/2019
27677,Iowa Distilleries,Cody Road Single Barrel,306,MISSISSIPPI RIVER DISTIL,750,6,1,0,105,10/01/2014,859824000006,10059824001967,25.00,150.00,37.50,04/01/2019
27751,Iowa Distilleries,Seagrams 7 Crown Orchard Apple,260,DIAGEO AMERICAS,750,12,1,0,71,11/01/2014,82000767626,10059824001967,7.00,83.95,10.50,04/01/2019
27829,Iowa Distilleries,Cody Road Double Barrel,306,MISSISSIPPI RIVER DISTIL,375,12,1,0,101,12/01/2018,82000767626,10059824001967,14.00,168.00,21.00,04/01/2019
27832,Iowa Distilleries,Iowa Distilling Company Straight Bourbon Whiskey,154,DUNKEL CORPORATION,750,6,1,2,90,04/01/2016,82000767626,10854781004507,19.95,119.70,29.93,04/01/2019
27841,Iowa Distilleries,Ku:l Fire,229,DEHNER DISTILLERY,750,12,1,0,70,01/01/2016,82000767626,10854781004507,8.49,101.88,12.74,04/01/2019
27844,Iowa Distilleries,Atomic Fusion Cinnamon Whiskey,229,DEHNER DISTILLERY,750,12,1,0,70,11/01/2016,858506004073,10854781004507,7.46,89.52,11.19,04/01/2019
27846,Iowa Distilleries,Atomic Fusion Spiced Apple Whiskey,229,DEHNER DISTILLERY,750,12,1,0,70,11/01/2016,858506004189,10854781004507,7.46,89.52,11.19,04/01/2019
27849,Iowa Distilleries,Cedar Ridge Reserve Bourbon,125,CEDAR RIDGE VINEYARDS LL,750,6,1,5,92,05/01/2017,859824001805,10854781004507,25.47,152.82,38.21,04/01/2019
27890,Iowa Distilleries,3-Oaks Distillery Whiskey,215,"3-Oaks Distillery, LLC",750,12,1,2,90,04/01/2016,859824001805,10748252129892,18.00,216.00,27.00,04/01/2019
28005,Iowa Distilleries,Cody Road Maple,306,MISSISSIPPI RIVER DISTIL,375,12,1,0,70,09/01/2017,855037005418,10748252129892,9.00,108.00,13.50,04/01/2019
28019,Iowa Distilleries,Cody Road Bourbon Mini,306,MISSISSIPPI RIVER DISTIL,500,6,10,0,90,08/01/2017,855037005371,10748252129892,15.00,90.00,22.50,04/01/2019
28056,Iowa Distilleries,Copper Cross Hybrid Whiskey,229,DEHNER DISTILLERY,750,6,1,0,84,08/01/2017,858506004240,10748252129892,17.50,105.00,26.25,04/01/2019
28070,Iowa Distilleries,Copper Cross Hybrid Whiskey Mini,229,DEHNER DISTILLERY,3000,1,60,0,84,11/01/2017,858506004257,10748252129892,75.00,75.00,112.50,04/01/2019
28081,Iowa Distilleries,Prairie Fire Mini,154,DUNKEL CORPORATION,800,8,16,0,70,06/01/2018,854781004555,10748252129892,11.90,95.20,17.85,04/01/2019
