Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A386653,OWNER SUR,02/21/2019,DIAMOND,DOG,6 YEARS,MED,RED / WHITE,LABRADOR RETR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A386653&location=MONT,
A448661,OWNER SUR,03/24/2019,*BILLY BOB,BIRD,NO AGE,SMALL,LAVNDR TAB / WHITE,PARAKEET,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448661&location=MONT,
A412347,OWNER SUR,06/29/2018,STAR,CAT,4 YEARS,MED,GRAY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A412347&location=MONT,
A448059,OWNER SUR,03/05/2019,*BO,DOG,5 YEARS,LARGE,GRAY / WHITE,MASTIFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448059&location=MONT,
A324000,OWNER SUR,03/14/2019,SPRITZER,CAT,10 YEARS,SMALL,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A324000&location=MONT,
A323998,OWNER SUR,03/14/2019,SPLASH,CAT,10 YEARS,SMALL,DIL TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A323998&location=MONT,
A448266,STRAY,03/12/2019,*BRIMSTONE,DOG,5 YEARS,MED,BLACK,AUST KELPIE,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448266&location=MONT,"3000 TANTERRA CIR, BROOKEVILLE MD 20833"
A306648,CONFISCATE,01/28/2019,*ORIOLE,CAT,12 YEARS,MED,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A306648&location=MONT,
A306650,CONFISCATE,01/28/2019,*CAMDEN,CAT,12 YEARS,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A306650&location=MONT,
A441980,OWNER SUR,08/24/2018,CANELO,DOG,7 YEARS,LARGE,BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A441980&location=MONT,
A447834,STRAY,02/25/2019,*MAPLE,DOG,1 YEAR,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447834&location=MONT,"7500 MAPLE AVE, TAKOMA PARK, MD, 20912"
A448644,OWNER SUR,03/24/2019,TAFFY,OTHER,1 YEAR 1 MONTH,SMALL,GRAY / WHITE,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448644&location=MONT,
A446185,STRAY,12/28/2018,*GORDON,DOG,1 YEAR 4 MONTHS,MED,BLUE / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A446185&location=MONT,"WALKERS CHOICE RD & MONTGOMERY VILLAGE AVE, MONTGOMERY VILLAGE MD 20886"
A448312,STRAY,03/14/2019,*DIAMOND,CAT,1 YEAR 1 MONTH,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448312&location=MONT,"300 E DIAMOND AVE, GAITHERSBURG MD 20877"
A448643,OWNER SUR,03/24/2019,PIRATE,OTHER,1 YEAR 1 MONTH,SMALL,GRAY,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448643&location=MONT,
A448642,OWNER SUR,03/24/2019,DROGON,OTHER,1 YEAR 1 MONTH,SMALL,BLACK / WHITE,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448642&location=MONT,
A445860,OWNER SUR,12/17/2018,COURAGE,CAT,9 MONTHS,SMALL,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A445860&location=MONT,
A448645,OWNER SUR,03/24/2019,GHOST,OTHER,7 MONTHS,SMALL,WHITE,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448645&location=MONT,
A448641,OWNER SUR,03/24/2019,UNICORN,OTHER,1 YEAR 1 MONTH,SMALL,BLACK / WHITE,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448641&location=MONT,
A435137,OWNER SUR,02/27/2019,BAMBAM,DOG,1 YEAR 8 MONTHS,MED,TRI/BROWN,AMER BULLDOG / ROTTWEILER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A435137&location=MONT,
A448447,STRAY,03/17/2019,*BLARNEY,CAT,7 MONTHS,SMALL,GRAY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448447&location=MONT,"8400 TAHONA DR, SILVER SPRING MD 20903"
A448640,OWNER SUR,03/24/2019,SPHINX,OTHER,1 YEAR 1 MONTH,SMALL,RED,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448640&location=MONT,
A448448,STRAY,03/17/2019,*SHAMROCK,CAT,7 MONTHS,SMALL,GRAY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448448&location=MONT,"8400 TAHONA DR, SILVER SPRING MD 20903"
A433572,OWNER SUR,03/21/2019,DARK PHOENIX,CAT,1 YEAR 4 MONTHS,SMALL,TORTIE PT,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433572&location=MONT,
A448613,OWNER SUR,03/23/2019,GEORGE,BIRD,8 MONTHS,MED,BLACK / RED,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448613&location=MONT,
