CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2018,January,BACKUP BEVERAGE,BEER,50929,CHAMPION FRUIT BASKET 6/4 CANS,3,Purchase order
2018,January,INTERBALT PRODUCTS CORP,WINE,337300,ANDEAN ORG MALB - 750ML,7,Purchase order
2018,January,THE SPANISH WINE IMPORTERS LLC,WINE,235018,SKYLARK PINK BELLY - 750ML,1,Purchase order
2018,January,AMERICAN FIDELITY TRADING,WINE,45412,CLOS ST THOMAS LES GOURMENTS BLC - 750ML,3,Purchase order
2018,January,DOPS INC,BEER,9415,LUCIFER GOLDEN ALE NR - 25.4OZ,2,Purchase order
2018,January,ANHEUSER BUSCH INC,BEER,31149,GOOSE ISLAND FULTON ST BLEND 4/6 NR,112,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,323645,SANT ANTONIO AMARONE - 750ML,1,Purchase order
2018,January,REMY COINTREAU USA,LIQUOR,335363,REMY MARTIN 1738 12/CS - 375ML,6,Purchase order
2018,January,PWSWN INC,WINE,349143,LA GIRAUDIERE SAUMUR - 750ML,7,Purchase order
2018,January,JIM BEAM BRANDS CO,LIQUOR,11464,EFFEN VODKA - GREEN APPLE - 750ML,7,Purchase order
2018,January,DIAGEO NORTH AMERICA INC,LIQUOR,74067,CAPTAIN MORGAN LONG ISLAND ICE TEA - 750ML,3,Purchase order
2018,January,INTERBALT PRODUCTS CORP,WINE,345862,CH DES DEUX RIVES BORD - 750ML,1,Purchase order
2018,January,ELK RUN VINEYARDS,WINE,70335,ELK RUN MER - 750ML,1,Purchase order
2018,January,FRANCIS COPPOLA WINERY LLC,WINE,301077,COPPOLA DIR CUT CAB BLEND - 750ML,1,Purchase order
2018,January,PUNTO VINO LLC,WINE,429260,14 VINES RHONE RED - 750ML,2,Purchase order
2018,January,CAMPARI AMERICA LLC,LIQUOR,309235,APPLETON RUM VX - 50ML,1,Purchase order
2018,January,CONSTELLATION BRANDS,WINE,50520,WOODBRIDGE P/NOIR - 750ML,70,Purchase order
2018,January,ANHEUSER BUSCH INC,BEER,7757,NATURAL LT-30PK CAN - 12OZ,1716,Purchase order
2018,January,DOPS INC,LIQUOR,44758,MICHTERS US1 AMERICAN WHISKEY - 750ML,0,Purchase order
2018,January,MONSIEUR TOUTON SELECTION,WINE,337420,TERRA VEGA MALB KOSHER - 750ML,6,Purchase order
2018,January,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,14621,LOS VASCOS CAB RES - 750ML,14,Purchase order
2018,January,SUTTER HOME WINERY INC,WINE,342215,JOEL GOTT #815 CABERNET SAUVIGNON - 750ML,56,Purchase order
2018,January,JACKSON FAMILY ENTERPRISES INC,WINE,307622,MURPHY GOODE P/NOIR - 750ML,84,Purchase order
2018,January,FETZER VINEYARDS,WINE,86282,FETZER ANTHONYS HILL CAB - 1.5L,48,Purchase order
2018,January,EXCELSIOR WINE COMPANY LLC,WINE,72419,CYT FRONTERA CHARD - 1.5L,240,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,334541,MERLIN-CHERRIER SANCERRE - 750ML,1,Purchase order
2018,January,ELITE WINES IMPORTS,WINE,312961,LA FOLLETTE N/C CHARD - 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,45387,BARNARD GRIFFIN WH/RIES - 750ML,1,Purchase order
2018,January,OPICI FAMILY DISTRIBUTING OF MD,WINE,311209,ARBOLEDA CARMN - 750ML,1,Purchase order
2018,January,MONSIEUR TOUTON SELECTION,WINE,336667,ARCAIA CAB - 1.5L,2,Purchase order
2018,January,JIM BEAM BRANDS CO,LIQUOR,16519,SAUZA TRES GEN ANEJO - 750ML,13,Purchase order
2018,January,ROYAL WINE CORP,WINE,346011,GOOSE BAY 2 HEMISPHERE RED - 750ML,1,Purchase order
2018,January,LEGENDS LTD,BEER,22981,LAGUNITAS PALE 4/6 NR - 12OZ,20,Purchase order
2018,January,SOUTHERN GLAZERS WINE AND SPIRITS,LIQUOR,70677,VIDA TEQUILA REPOSADO - 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,323780,LA GIARETIA VOLPARE VAL - 750ML,1,Purchase order
2018,January,KATCEF BROTHERS INC,BEER,28854,ROGUE SIRACHA 12/750 ML,1,Purchase order
2018,January,PABST BREWING CO,KEG,26156,MAGNERS CIDER - 1/2K,16,Purchase order
2018,January,E & J GALLO WINERY,WINE,83585,MACMURRAY RANCH SONOMA P/NOIR - 750ML,14,Purchase order
2018,January,MONSIEUR TOUTON SELECTION,WINE,323491,LES DAUPHINS CDR - 750ML,4,Purchase order
