,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
214,Cosina,205,Valid,H5,1200.0,Fell,1844.0,21.16667,-100.86667,"(21.166670, -100.866670)"
215,Cranganore,206,Valid,L6,1460.0,Fell,1917.0,10.2,76.26666999999999,"(10.200000, 76.266670)"
216,Crescent,207,Valid,CM2,78.4,Fell,1936.0,35.95,-97.58333,"(35.950000, -97.583330)"
217,Cronstad,208,Valid,H5,3650.0,Fell,1877.0,-27.7,27.3,"(-27.700000, 27.300000)"
218,Cross Roads,209,Valid,H5,167.0,Fell,1892.0,35.63333,-78.13333,"(35.633330, -78.133330)"
219,Crumlin,210,Valid,L5,4255.0,Fell,1902.0,54.61666999999999,-6.21667,"(54.616670, -6.216670)"
220,Cumberland Falls,211,Valid,Aubrite,17000.0,Fell,1919.0,36.83333,-84.35,"(36.833330, -84.350000)"
221,Cynthiana,212,Valid,L/LL4,6000.0,Fell,1877.0,38.4,-84.25,"(38.400000, -84.250000)"
222,Dahmani,213,Valid,LL6,18000.0,Fell,1981.0,35.61667,8.83333,"(35.616670, 8.833330)"
223,Dandapur,214,Valid,L6,5650.0,Fell,1878.0,26.91667,83.96667,"(26.916670, 83.966670)"
224,Daniel's Kuil,215,Valid,EL6,1064.0,Fell,1868.0,-28.2,24.566670000000002,"(-28.200000, 24.566670)"
225,Danville,216,Valid,L6,2000.0,Fell,1868.0,34.4,-87.06667,"(34.400000, -87.066670)"
226,Darmstadt,217,Valid,H5,100.0,Fell,1804.0,49.86667,8.65,"(49.866670, 8.650000)"
227,Dashoguz,218,Valid,H5,7000.0,Fell,1998.0,41.98444,59.685,"(41.984440, 59.685000)"
228,Daule,219,Valid,L5,6580.0,Fell,2008.0,-1.8708900000000002,-79.95756,"(-1.870890, -79.957560)"
229,De Cewsville,220,Valid,H6,340.0,Fell,1887.0,43.0,-80.0,"(43.000000, -80.000000)"
230,Deal,221,Valid,L6,28.0,Fell,1829.0,40.25,-74.0,"(40.250000, -74.000000)"
231,Delhi,222,Valid,L5,0.8,Fell,1897.0,28.566670000000002,77.25,"(28.566670, 77.250000)"
232,Demina,223,Valid,L6,16400.0,Fell,1911.0,51.46667,84.76666999999999,"(51.466670, 84.766670)"
233,Denver,224,Valid,L6,230.0,Fell,1967.0,39.7825,-104.93056000000001,"(39.782500, -104.930560)"
234,Dergaon,225,Valid,H5,12500.0,Fell,2001.0,26.683329999999998,93.86667,"(26.683330, 93.866670)"
235,Desuri,226,Valid,H6,25400.0,Fell,1962.0,25.73333,73.61667,"(25.733330, 73.616670)"
236,Devgaon,227,Valid,H3.8,12000.0,Fell,2001.0,19.0,81.0,"(19.000000, 81.000000)"
237,Devri-Khera,228,Valid,L6,1140.0,Fell,1994.0,24.225,76.525,"(24.225000, 76.525000)"
238,Dhajala,229,Valid,H3.8,45000.0,Fell,1976.0,22.377779999999998,71.42721999999999,"(22.377780, 71.427220)"
239,Dharwar,230,Valid,OC,1800.0,Fell,1848.0,14.883329999999999,75.6,"(14.883330, 75.600000)"
240,Dhurmsala,231,Valid,LL6,32000.0,Fell,1860.0,32.23333,76.46667,"(32.233330, 76.466670)"
241,Didim,232,Valid,H3-5,3396.0,Fell,2007.0,37.35172,27.32997,"(37.351720, 27.329970)"
242,Diep River,233,Valid,L6,1000.0,Fell,1906.0,-33.75,18.566670000000002,"(-33.750000, 18.566670)"
243,Distrito Quebracho,234,Valid,H4,400.0,Fell,1957.0,-31.883329999999997,-60.46666999999999,"(-31.883330, -60.466670)"
244,Djati-Pengilon,235,Valid,H6,166000.0,Fell,1884.0,-7.5,111.5,"(-7.500000, 111.500000)"
245,Djermaia,236,Valid,H,3950.0,Fell,1961.0,12.73333,15.05,"(12.733330, 15.050000)"
246,Djoumine,237,Valid,H5-6,10000.0,Fell,1999.0,36.95,9.55,"(36.950000, 9.550000)"
247,Dokachi,238,Valid,H5,3840.0,Fell,1903.0,23.5,90.33333,"(23.500000, 90.333330)"
